zip,xml,fecha,sesion,numero,titulo_punto,texto_expediente,best_score,second_best
VOT_20250122154424.zip,sesion89votacion1.xml,2025-01-22,89,1,Convalidación o derogación de Reales Decretos-leyes.,"Real Decreto-ley 9/2024, de 23 de diciembre, por el que se adoptan medidas urgentes en materia económica, tributaria, de transporte, y de Seguridad Social, y se prorrogan determinadas medidas para hacer frente a situaciones de vulnerabilidad social.",0.821,158:0.777
VOT_20250122154424.zip,sesion89votacion3.xml,2025-01-22,89,3,Convalidación o derogación de Reales Decretos-leyes.,"Real Decreto-ley 11/2024, de 23 de diciembre, para la mejora de la compatibilidad de la pensión de jubilación con el trabajo.",0.662,156:0.433
VOT_20250506211450.zip,sesion107votacion2.xml,2025-05-06,107,2,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley del Grupo Parlamentario VOX, Orgánica de modificación de la Ley Orgánica 10/1995, de 23 de noviembre, del Código Penal, para el endurecimiento de las penas del delito de matrimonio forzado.",0.643,51:0.412
VOT_20250506211450.zip,sesion107votacion3.xml,2025-05-06,107,3,Acuerdo de tramitación directa y en lectura única de iniciativas legislativas.,Acuerdo de tramitación directa y en lectura única del Proyecto de Ley Orgánica por la que se autoriza la ratificación de cuatro enmiendas al artículo 8.2 del Estatuto de Roma de la Corte Penal Internacional.,0.700,132:0.673
VOT_20250528152326.zip,sesion115votacion1.xml,2025-05-28,115,1,Proposiciones no de Ley.,"Proposición no de Ley del Grupo Parlamentario Popular en el Congreso, relativa a financiar con máxima urgencia la ""Ley 3/2024, de 30 de octubre, para mejorar la calidad de vida de personas con Esclerosis Lateral Amiotrófica y otras enfermedades o procesos de alta complejidad y curso irreversible"".",0.637,155:0.489
VOT_20250624202322.zip,sesion122votacion2.xml,2025-06-24,122,2,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley del Grupo Parlamentario Socialista, Orgánica por la que se modifica la Ley Orgánica 10/1995, de 23 de noviembre, del Código Penal, para penalizar las terapias de conversión dirigidas a eliminar o negar la orientación sexual, identidad sexual o expresión de género.",0.670,21:0.327
VOT_20251118204737.zip,sesion147votacion1.xml,2025-11-18,147,1,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley  del Grupo Parlamentario VOX, Orgánica por la que se modifica la Ley Orgánica 5/2000, de 12 de enero, reguladora de la responsabilidad penal de los menores, para rebajar la edad penal y sancionar con más firmeza y eficacia los delitos cometidos por menores.",0.654,129:0.327
VOT_20251209205648.zip,sesion152votacion2.xml,2025-12-09,152,2,Toma en consideración de Proposiciones de Ley.,"Proposición de Ley del Grupo Parlamentario Popular en el Congreso, en apoyo del sistema alimentario español como sector estratégico esencial de la economía.",0.749,114:0.749
